,도로명,위도,경도
88,"팔달구 덕영대로 899, 116호 (매산로1가, 세진브론즈빌)",37.2681505,127.0003154
89,"팔달구 덕영대로943번길 36, 1층 104호 (매산로2가)",37.2659359,127.0030140
90,"팔달구 고화로 10, 1층 (매산로3가)",37.2705385,127.0080663
91,팔달구 매산로 21-11 (매산로1가),37.2681674,127.0035701
92,팔달구 향교로 1 (매산로1가),37.2676722,127.0012690
93,팔달구 향교로3번길 23-4 (매산로1가),37.2688054,127.0014263
94,"팔달구 매산로 2-10 (매산로1가, 역전시장)",37.2663016,127.0023389
95,"팔달구 매산로 2-10 (매산로1가, 역전시장)",37.2663016,127.0023389
96,팔달구 덕영대로895번길 8 (매산로1가),37.2688052,127.0001578
97,"팔달구 향교로1번길 22-20, 1층 (매산로1가)",37.2691730,127.0013076
98,"팔달구 매산로 75 (매산로3가, KCC파크타운)",37.2700843,127.0091713
99,팔달구 갓매산로71번길 11 (매산로2가),37.2693765,127.0029944
100,경기 수원시 팔달구 매산로2가 101-1,37.2663626,127.0034044
101,팔달구 경수대로680번길 31 (우만동),37.2867786,127.0290171
102, 팔달구 권광로367번길 11,37.2792319,127.0368564
103,팔달구 중부대로143번길 81 (우만동),37.2818203,127.0329223
104,팔달구 경수대로692번길 11 (우만동),37.2872192,127.0274881
105,팔달구 월드컵로297번길 42 (우만동),37.2840864,127.0334328
106,팔달구 경수대로680번길 51 (우만동),37.2873084,127.0298657
107,"팔달구 세지로 439-13 (우만동, 풍림아파트)",37.2876933,127.0321974
108,팔달구 경수대로642번길 39 (우만동),37.2839827,127.0310705
109,팔달구 경수대로692번길 40 (우만동),37.2878748,127.0289094
110,팔달구 팔달문로 161 (우만동),37.2832415,127.0337348
111,팔달구 창룡대로150번길 38 (우만동),37.2897036,127.0275202
112,팔달구 경수대로656번길 63 (우만동),37.2856485,127.0315632
113,팔달구 경수대로 596 (우만동),37.2790088,127.0313514
114,"팔달구 월드컵로369번길 41 (우만동, 나성복합상가아파트)",37.2890477,127.0287672
115,팔달구 창룡대로150번길 55 (우만동),37.2891783,127.0284074
116,팔달구 경수대로656번길 55-21 (우만동),37.2860528,127.0303766
117,팔달구 팔달문로 131 (우만동),37.2823558,127.0302711
118,팔달구 월드컵로311번길 12-2 (우만동),37.2858392,127.0340195
119,"팔달구 팔달문로139번길 11-4, 2층 235호 (우만동, 한효우만타운아파트)",37.2832344,127.0307216
120,팔달구 팔달문로131번길 66 (우만동),37.2851046,127.0289968
121,팔달구 중부대로143번길 39 (우만동),37.2800125,127.0321558
122,팔달구 팔달문로163번길 49 (우만동),37.2848656,127.0323097
123,팔달구 우만1동 478-7,37.2888040,127.0299317
124,팔달구 팔달문로140번길 38 (우만동),37.2808387,127.0318260
125,팔달구 세지로 401 (우만동),37.2853681,127.0288301
126,팔달구 경수대로616번길 33 (우만동),37.2812049,127.0323157
127,팔달구 월드컵로345번길 32 (우만동),37.2877924,127.0305070
128,팔달구 세지로 442 (우만동),37.2874721,127.0326717
129,팔달구 창룡대로150번길 60,37.2888754,127.0283509
130,"팔달구 월드컵로369번길 41, 101호 (우만동, 나성복합상가아파트)",37.2890477,127.0287672
131,"팔달구 중부대로143번길 29, 101호 (우만동, 우암빌딩)",37.2796543,127.0320694
132,팔달구 월드컵로 299-1 (우만동),37.2853280,127.0351039
133,"팔달구 월드컵로 307 (우만동, 연안빌딩)",37.2856353,127.0346635
134,팔달구 팔달문로141,37.2826930,127.0314265
135,팔달구 경수대로642번길 62-1 (우만동),37.2844897,127.0322642
136,"팔달구 창룡대로210번길 13 (우만동, 주공3단지아파트)",37.2920515,127.0349395
137,"팔달구 창룡대로210번길 13, 주공3단지상가101 (우만동, 주공3단지아파트)",37.2920515,127.0349395
138,"팔달구 창룡대로 194, 106호 (우만동, 주공4단지아파트)",37.2917379,127.0303530
139,팔달구 팔달문로175번길 77 (우만동),37.2862144,127.0324643
140,팔달구 창룡대로144번길 33 (우만동),37.2896583,127.0259529
141,"팔달구 월드컵로 319-1 (우만동, 유경프라자)",37.2867237,127.0337112
142,"팔달구 세지로 409, 1층4호 (우만동)",37.2858030,127.0296030
143,팔달구 창룡대로150번길 46 (우만동),37.2894195,127.0277906
144,"팔달구 중부대로207번길 13, 1층 101호 (우만동)",37.2771916,127.0391215
145,"팔달구 아주로 41, 1층 (우만동)",37.2784986,127.0435240
146,"팔달구 아주로 17-24 (우만동, 삼은빌)",37.2771213,127.0431370
147," (우만동, 주공1단지아파트)",,
148,"팔달구 아주로47번길 6, 1층 (우만동)",37.2792077,127.0433288
149,팔달구 중부대로223번길 71-7 (우만동),37.2792998,127.0408321
150,"팔달구 아주로39번길 22, 1층 (우만동)",37.2784519,127.0424926
151,"팔달구 권광로340번길 79, 골든파크G동 101호 (우만동)",37.2761357,127.0423723
152,"팔달구 권광로358, 102호",37.2789625,127.0379464
153,"팔달구 아주로47번길 32 (우만동, 플러스빌오피스텔)",37.2792244,127.0419928
154,"팔달구 월드컵로 205, 102호 (우만동)",37.2796738,127.0434040
155,"팔달구 중부대로 145 (우만동, 뉴신아빌딩)",37.2783936,127.0327044
156,"팔달구 권광로 373, 월드메르디앙 102호 (우만동, 월드메르디앙 아파트)",37.2808409,127.0340698
157,팔달구 권광로367번길 27 (우만동),37.2788381,127.0358571
158,"팔달구 중부대로223번길 4, 101 102호 (우만동, 블루하우스)",37.2761283,127.0409556
159,팔달구 우만2동 98-1,37.2761342,127.0401043
160,"팔달구 권광로 386 (우만동, 트레보)",37.2812926,127.0377511
161,팔달구 중부대로 189 (우만동),37.2771657,127.0370705
162,팔달구 중부대로223번길 61 (우만동),37.2785626,127.0409910
163,"팔달구 권광로276번길 31 (인계동, 태화빌딩)",37.2720359,127.0375537
164,"팔달구 인계로 52, 1층 (인계동, 제2용신빌딩)",37.2691095,127.0233165
165,"팔달구 중부대로 94 (인계동, 성웅빌딩)",37.2765475,127.0269673
166,"팔달구 중부대로 206, 102/103호 (인계동)",37.2761681,127.0385862
167,팔달구 효원로235번길 34 (인계동),37.2644201,127.0283308
168,"팔달구 중부대로80, 상가3동1층43호",37.2757960,127.0247994
169,"팔달구 권선로753 , 트윈파크B동101-102",37.2576757,127.0337260
170,팔달구 인계동 1115-11,37.2654783,127.0354792
171,"팔달구 경수대로 584, 신동아파스텔101-2 (인계동, 신동아 파스텔)",37.2776784,127.0314571
172,팔달구 장다리로 193 (인계동),37.2671530,127.0247792
173,"팔달구 인계로166번길 48-21 (인계동, 인계샤르망오피스텔)",37.2646026,127.0334178
174,"팔달구 중부대로106번길 34, 1층 (인계동, 정상빌딩)",37.2763812,127.0292070
175,"팔달구 경수대로526번길 12-26, 1층 102호(인계동, J타워) (인계동)",37.2716916,127.0293018
176,"팔달구 장다리로 245 (인계동, 성와빌딩)",37.2716099,127.0265100
177,"팔달구 경수대로533번길 1, 1층 (인계동)",37.2734809,127.0287115
178,팔달구 효원로235번길 34 (인계동),37.2644201,127.0283308
179,팔달구 권광로196번길 43-20 (인계동),37.2651693,127.0362380
180,"팔달구 효원로308번길 16, 1층 105호 106호 (인계동, 한화 꿈에그린 파크)",37.2601165,127.0345005
181,팔달구 효원로265번길 10 (인계동),37.2625870,127.0310867
182,팔달구 권광로187번길 26 (인계동),37.2649523,127.0314114
183,팔달구 경수대로466번길 59 (인계동),37.2669736,127.0305238
184,팔달구 인계로108번길 39-4 (인계동),37.2658504,127.0289175
185,"팔달구 경수대로446번길 13 (인계동, 에코원)",37.2659508,127.0273932
186,팔달구 중부대로60번길 40 (인계동),37.2746274,127.0217879
187,"팔달구 인계로 132 (인계동, 인계 오피앙 오피스텔)",37.2669505,127.0319330
188,"팔달구 경수대로421번길 13 (인계동, 보성빌딩)",37.2639733,127.0244860
189,"팔달구 권광로207번길 13 (인계동, 제2평은빌딩)",37.2660513,127.0325875
190,팔달구 효원로265번길 54 (인계동),37.2643525,127.0319119
191,"팔달구 인계로124번길 41-3 (인계동, 삼화빌딩)",37.2656703,127.0306381
192,팔달구 장다리로314번길 2 (인계동),37.2759160,127.0314105
193, 팔달구 장다리로 306번길13,37.2744496,127.0323176
194,"팔달구 효원로308번길58-9, 104호",37.2578591,127.0336773
195,팔달구 장다리로 323,37.2768825,127.0313306
196,팔달구 수원천로 232-16 (인계동),37.2738302,127.0203190
197,팔달구 효원로219번길 36 (인계동),37.2648891,127.0267675
198,팔달구 경수대로466번길 9 (인계동),37.2676847,127.0278692
199,팔달구 세지로234번길 4 (인계동),37.2718822,127.0241425
200,"팔달구 중부대로 194 (인계동, 승원빌딩)",37.2765355,127.0373007
201,팔달구 경수대로446번길 42 (인계동),37.2652951,127.0287661
202,"팔달구 효원로265번길 20 (인계동, 영헌빌딩)",37.2630239,127.0313252
203,"팔달구 인계로 140, (시안프라자1층) (인계동, 시안프라자)",37.2667763,127.0328485
204,"팔달구 경수대로 496번길 14, 101호 (인계동)",37.2698959,127.0288846
205,팔달구 장다리로306번길 37 (인계동),37.2736342,127.0305387
206,"팔달구 인계로 126 (인계동, 수원미디어시티)",37.2671331,127.0312559
207,"팔달구 인계로 140, 105호 (인계동, 시안프라자)",37.2667763,127.0328485
208,팔달구 경수대로479번길 19 (인계동),37.2691759,127.0260949
209,"팔달구 권광로196번길 21, 1층 (인계동)",37.2648368,127.0345513
210,팔달구 권광로180번길 24 (인계동),37.2631944,127.0339150
211,"팔달구 경수대로466번길 33, 105호 (인계동)",37.2674066,127.0290467
212,"팔달구 효원로303, 삼호파크타워105호",37.2613186,127.0351481
213,팔달구 장다리로283번길21,37.2753746,127.0279132
214,팔달구 세지로174번길 8-4 (인계동),37.2667289,127.0222774
215,"팔달구 세지로198번길 32 (인계동, 하나빌딩)",37.2682566,127.0246893
216,팔달구 효원로249번길 47 (인계동),37.2646965,127.0297641
217,"팔달구 권선로741번길 27, 103호 (인계동, 다우프리존)",37.2590956,127.0325404
218,"팔달구 중부대로 110, 한라시그마팰리스103호 (인계동, 한라시그마팰리스)",37.2774567,127.0288321
219,"팔달구 권선로 739 (인계동, 벨로시티)",37.2581422,127.0321130
220,팔달구 세지로174번길 24-3 (인계동),37.2664653,127.0232831
221,팔달구 세지로 214 (인계동),37.2701682,127.0237813
222,"팔달구 경수대로 555, 1층 (인계동)",37.2754777,127.0295320
223,팔달구 권광로255번길 31 (인계동),37.2708463,127.0344093
224,"팔달구 중부대로170번길 17 (인계동, 수원인계푸르지오)",37.2769594,127.0354290
225,"팔달구 인계로 154 (인계동, 동수원뉴코아아울렛)",37.2663108,127.0343097
226,팔달구 인계동 1012-7,37.2644392,127.0247777
227,"팔달구 경수대로 445, 1층 (인계동)",37.2660503,127.0258530
228,팔달구 경수대로507번길 12-17 (인계동),37.2721847,127.0276070
229,팔달구 권광로 262 (인계동),37.2706984,127.0356927
230,"팔달구 경수대로467번길 22, 101호 (인계동, 대양빌딩)",37.2682735,127.0256120
231,팔달구 권광로187번길 10-3 (인계동),37.2647548,127.0321623
232,팔달구 효원로 299 (인계동),37.2614440,127.0346331
233,"팔달구 인계로108번길 31 (인계동, 삼호빌딩)",,
234,팔달구 세지로152번길 46 (인계동),37.2642592,127.0233492
235,"팔달구 경수대로467번길 22 (인계동, 대양빌딩)",37.2682735,127.0256120
236,팔달구 효원로292번길33-22,37.2598630,127.0335965
237,팔달구 효원로219번길 48 (인계동),37.2654381,127.0269826
238,"팔달구 권광로 187, 대성빌딩지하1층 (인계동, 대선프라자)",37.2642429,127.0324605
239,"팔달구 중부대로 100, 풍림빌딩 신관1층 (인계동)",37.2769589,127.0274991
240,팔달구 인계로138번길 44 (인계동),37.2650822,127.0317848
241,"팔달구 권광로276번길 33-25, 1층상가 106호 (인계동, 아미힐)",37.2728922,127.0369391
242,팔달구 인계로138번길 36 (인계동),37.2655209,127.0317784
243,"팔달구 인계로108번길4, 105호",37.2676730,127.0292151
244,"팔달구 권광로 246 (인계동, 래미안 노블클래스)",37.2695902,127.0359805
245,"팔달구 권선로 731 (인계동, 삼부르네상스오피스텔)",37.2582706,127.0312487
246,"팔달구 장다리로 271 (인계동, 장안아파트)",37.2737415,127.0273799
247,"팔달구 효원로291번길 53 (인계동, 백광빌딩)",37.2637455,127.0343955
248,"팔달구 경수대로565번길 9, 1층 (인계동)",37.2762147,127.0295465
249,"팔달구 인계로68번길 36 (인계동, 가람주택)",37.2672827,127.0243150
250,"팔달구 권광로 146 (인계동, 벽산그랜드코아)",37.2604672,127.0318445
251,"팔달구 인계로94번길 21 (인계동, 수일빌딩)",37.2671133,127.0276640
252,"팔달구 인계로124번길 26 (인계동, 금호빌딩)",37.2663147,127.0305179
253,팔달구 권광로124번길 27 (인계동),37.2584903,127.0323473
254,"팔달구 경수대로 584, 신동아파스텔 104호 (인계동, 신동아 파스텔)",37.2776784,127.0314571
255,팔달구 세지로 272 (인계동),37.2752785,127.0237936
256,"팔달구 경수대로 438 (인계동, 현대하이엘)",37.2652436,127.0264710
257,"팔달구 효원로265번길 41 (인계동, 신흥빌딩)",37.2639402,127.0312813
258,"팔달구 권광로142번길 43-6 (인계동, 송악화이트빌)",37.2597748,127.0340771
259,팔달구 경수대로495번길 12-3 (인계동),37.2705942,127.0270804
260,"팔달구 효원로 241, 수원시청 별관 7층 (인계동, 수원시청)",37.2634760,127.0286460
261,팔달구 장다리로233번길 23 (인계동),37.2708000,127.0250128
262,"팔달구 경수대로428번길 15, 1층 (인계동)",37.2642775,127.0267819
263,"팔달구 권광로317번길 15, 선경아파트 3차 상가 (인계동, 선경3차아파트)",37.2753936,127.0358038
264,"팔달구 세지로244번길 3, 1층103호 (인계동, 그린상가빌딩)",37.2728354,127.0240793
265,"팔달구 권광로276번길 9 (인계동, 삼성아파트)",37.2717108,127.0365818
266,"팔달구 효원로292번길 50 (인계동, 마이홈 오피스텔)",37.2597664,127.0320142
267,"팔달구 경수대로565번길 40, 1층 (인계동)",37.2761569,127.0279108
268,"팔달구 권광로208, 1층109호",37.2658831,127.0339382
269,"팔달구 권광로188번길 51, 103호 (인계동)",37.2637994,127.0358700
270,"팔달구 권광로 174, 자이오피스텔상가103 (인계동, 수원인계자이오피스텔)",37.2628547,127.0330349
271,팔달구 권광로175번길 52 (인계동),37.2642042,127.0294637
272,팔달구 경수대로495번길 19 (인계동),37.2704297,127.0266222
273,팔달구 세지로152번길 11 (인계동),37.2649282,127.0215973
274,팔달구 장다리로245번길 16 (인계동),37.2720232,127.0259810
275,"팔달구 세지로174번길 43 (인계동, 태화빌딩)",37.2664575,127.0242820
276,팔달구 경수대로 508-1 (인계동),,
277,팔달구 인계로166번길 45 (인계동),37.2643380,127.0351050
278,팔달구 권광로255번길 8 (인계동),37.2700880,127.0344784
279,"팔달구 장다리로306번길 13, 상가동B01호 (인계동, 신반포아파트)",37.2744496,127.0323176
280,팔달구 권광로196번길 50 (인계동),37.2641983,127.0359734
281,"팔달구 권광로196번길 57, 1동 104호 (인계동, 인계동 삼환 아르누보파크)",37.2645463,127.0365565
282,팔달구 장다리로 304 (인계동),37.2751466,127.0308139
283,팔달구 중부대로 46 (인계동),37.2751166,127.0219981
284,팔달구 권광로180번길 19 (인계동),37.2635396,127.0338692
285,"팔달구 인계로138번길8, 104-105호(리슈빌상가)",37.2667004,127.0324147
286,팔달구 경수대로565번길 27 (인계동),37.2759800,127.0286135
287,"팔달구 효원로 257 (인계동, 홈플러스동수원점)",37.2627598,127.0301276
288,팔달구 효원로193번길 35 (인계동),37.2655130,127.0235696
289,팔달구 세지로 373-4 (지동),37.2838105,127.0267868
290,팔달구 팔달문로 97 (지동),37.2811248,127.0268423
291,팔달구 세지로306번길 2 (지동),37.2782605,127.0239463
292,"팔달구 경수대로 657-7 (지동, 샤인파크)",37.2837580,127.0278678
293,팔달구 중부대로 119 (지동),37.2784134,127.0293805
294,팔달구 세지로351번길 8 (지동),37.2823693,127.0252236
295,팔달구 창룡문로 3 (지동),37.2779143,127.0200631
296,"팔달구 팔달문로 82, 진우@ 상가 1층 (지동, 진우아파트)",37.2802733,127.0255022
297,팔달구 중부대로87번길 15 (지동),37.2772124,127.0258633
298,팔달구 수원천로264번길 10-1 (지동),37.2768602,127.0200682
299,팔달구 지동 232-42,37.2853095,127.0254562
300,팔달구 팔달문로104번길 20-20 (지동),37.2801822,127.0265378
301,팔달구 중부대로125번길 13 (지동),37.2788338,127.0296058
302,팔달구 창룡문로 65-1 (지동),37.2830450,127.0232532
303,"팔달구 팔달문로20, 지하1층",37.2775121,127.0195285
304,팔달구 팔달문로57번길 34 (지동),37.2807846,127.0231069
305,팔달구 팔달문로103번길 8 (지동),37.2817075,127.0274176
306,팔달구 팔달문로115번길 14 (지동),37.2823666,127.0286370
307,팔달구 경수대로 613 (지동),37.2803205,127.0298682
308,팔달구 세지로 295 (지동),37.2774645,127.0236338
309,"팔달구 경수대로 617, 1층 101 (지동)",37.2806757,127.0298213
310,팔달구 세지로 354,37.2821312,127.0259077
311,팔달구 중부대로 31-14 (지동),37.2755642,127.0208105
312,팔달구 세지로306번길 33 (지동),37.2779384,127.0256079
313,팔달구 팔달문로75번길 76 (지동),37.2828064,127.0272960
314,팔달구 팔달문로118번길 23 (지동),37.2807747,127.0291021
315,팔달구 수원천로258번길 23-16 (지동),37.2774110,127.0206747
316,팔달구 세지로 381 (지동),37.2844354,127.0270695
317,팔달구 팔달문로103번길 34 (지동),37.2826974,127.0265686
318,팔달구 창룡문로 30 (지동),37.2801764,127.0213703
319,팔달구 정조로 788 (팔달로2가),37.2783416,127.0169997
320,팔달구 정조로886번길 7 (북수동),37.2871376,127.0156439
321,"팔달구 정조로 751-11 (중동, 중동빌딩)",37.2751520,127.0158163
322,팔달구 정조로886번길 7 (북수동),37.2871376,127.0156439
323,팔달구 정조로742번길 17 (구천동),37.2742879,127.0176077
324,팔달구 정조로 872 (팔달로2가),37.2857721,127.0157685
325,팔달구 화서문로17번길 4 (장안동),37.2854477,127.0101587
326,팔달구 수원천로 311 (남수동),37.2812713,127.0179503
327,팔달구 정조로 834 (북수동),37.2824553,127.0166909
328,팔달구 수원천로 357 (북수동),37.2853032,127.0174848
329,팔달구 정조로770번길 7 (팔달로3가),37.2769957,127.0173501
330,팔달구 정조로 767-3 (팔달로3가),37.2764799,127.0163971
331,팔달구 화서문로 48 (신풍동),37.2852235,127.0131986
332,팔달구 화서문로32번길 23 (신풍동),37.2841666,127.0122799
333,팔달구 정조로801번길23,37.2798857,127.0152299
334,정조로 758번길6,37.2756309,127.0171199
335,팔달구 수원천로 313 (남수동),37.2813946,127.0179370
336,팔달구 창룡대로 42-1 (남수동),37.2826938,127.0210617
337,팔달구 화서문로75번길 11 (북수동),37.2865352,127.0165947
338,팔달구 신풍로 37 (신풍동),37.2843224,127.0144253
339,팔달구 수원천로 318 (남수동),37.2817099,127.0184850
340,팔달구 화서문로 26-2 (신풍동),37.2847063,127.0107255
341,팔달구 매산로 157 (구천동),37.2732771,127.0173927
342,팔달구 매산로 157 (구천동),37.2732771,127.0173927
343,팔달구 정조로800번길 2 (팔달로1가),37.2794427,127.0168900
344,팔달구 행궁로 65-1 (팔달로3가),37.2767565,127.0158696
345,"팔달구 중부대로 6 (중동, 설영빌딩)",37.2750121,127.0174614
346,"팔달구 수원천로255번길 6 (영동, 영동시장)",37.2768106,127.0186604
347,"팔달구 창룡대로 8번길5, 1층",37.2815500,127.0176183
348,팔달구 정조로900번길 15 (북수동),37.2877951,127.0153909
349,팔달구 창룡대로 28 (남수동),37.2817482,127.0197464
350,팔달구 정조로841번길 6 (신풍동),37.2833409,127.0159545
351,팔달구 화서문로72번길 33,37.2845404,127.0168983
352,"팔달구 정조로 766,  1층 2호 (팔달로3가)",37.2763992,127.0168900
353,팔달구 행궁로 41 (남창동),37.2788378,127.0153713
354,팔달구 수원천로 299-3 (남수동),37.2800539,127.0179652
355,팔달구 정조로 864 (북수동),37.2851029,127.0159552
356,팔달구 창룡대로7번길 20 (북수동),37.2827921,127.0177541
357,팔달구 창룡대로7번길 30 (북수동),37.2832830,127.0176041
358,팔달구 창룡대로 45 (매향동),37.2832018,127.0209167
359,팔달구 화서문로 51 (장안동),37.2855074,127.0135568
360,팔달구 정조로810번길 6 (팔달로1가),37.2803020,127.0170508
361,팔달구 창룡대로103번길135,37.2832195,127.0199753
362,팔달구 행궁로 57 (팔달로3가),37.2773637,127.0156744
363,팔달구 정조로800번길 20 (남수동),37.2794832,127.0178412
364,"팔달구 창룡대로 18 (남수동, 원제빌딩)",37.2817054,127.0187304
365,팔달구 창룡대로103번길 103 (매향동),37.2844407,127.0209908
366,팔달구 정조로886번길 21 (북수동),37.2872738,127.0164615
367,팔달구 화양로4,37.2792024,126.9992430
368,"팔달구 동말로25번길 71, 1층 (화서동)",37.2806450,126.9952434
369,"팔달구 팔달로153번길 2, 1층 (화서동)",37.2821187,127.0056122
370,팔달구 팔달로119번길 16 (화서동),37.2793573,127.0028428
371,팔달구 팔달로153번길 65 (화서동),37.2824689,127.0020785
372,팔달구 동말로 27 (화서동),37.2780845,126.9971958
373,팔달구 팔달로 128-1 (화서동),37.2798863,127.0045598
374,팔달구 화양로29번길 2 (화서동),37.2808386,126.9969383
375,"팔달구 덕영대로757번길 23 (화서동, 영광아파트)",37.2801828,126.9940783
376,"팔달구 동말로 48 (화서동, 대화빌딩)",37.2786360,126.9992330
